"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2001.58441632972
"2","member","Sunday",832.414780316345
"3","casual","Monday",1676.80075326756
"4","member","Monday",710.312550102623
"5","casual","Tuesday",1500.40021980069
"6","member","Tuesday",717.410319638022
"7","casual","Wednesday",1459.22416233262
"8","member","Wednesday",714.549619428832
"9","casual","Thursday",1461.9068227429
"10","member","Thursday",722.587556555123
"11","casual","Friday",1627.77606350759
"12","member","Friday",740.174085117593
"13","casual","Saturday",1912.56271226653
"14","member","Saturday",834.232602172128
